brand,ceo,hq_city,hq_country,url,customers
chef,,Seattle,US,chef.io,"gannett,target,standard bank,intuit,ge capital,nordstrom,bloomberg,ancestry,bonobos"
cloud bees,,San Jose,US,cloudbees.com,"allianz,pentaho,morning star"
pentaho,Quentin Gallivan,Orlando,US,pentaho.com,"BT,Caterpillar Marine Asset Intelligence,Edo Interactive,BEONTRA,NASDAQ"
ca technologies,Mike Gregoire,New York,US,ca.com,"Banco de Desarrollo Rural,Asurion,Unum,Acciona,Advanced Info Service"
github,Chris Wanstrath,San Francisco,US,github.com,"MailChimp,Kakao Corporation,CoverMyMeds,HubSpot,DLR Institute of Robotics"
puppet labs,Sanjay Mirchandani,Portland,US,puppet.com,"Redhat,Intel,NASA,Salesforce,Verizon"
blazemeter,Alon Girmonsky,,US,blazemeter.com,"GAP,NBCUniversal,Pfizer, Adobe, Atlassian"
jfrog,Shlomi Ben Haim,Sunnyvale,US,jfrog.com,"Google, Master Card, Amazon, LinkedIn, Twitter"
infostretch,Rutesh Shah,Santa Clara,US,infostretch.com,"Caeden, Starwood Hotels & Resorts, ComTech, Urgent.ly, Starwood Hotels & Resorts"
soasta,Tom Lounibos,Mountain View,US,soasta.com,"Nordstrom, Etsy, Staples, Best Buy, Walmart"
saucelabs,Charles Ramsey,San Francisco,US,saucelabs.com,"Yahoo, Eventbrite, Zendesk, Salesforce, travelocity"
sonarsource,Olivier Gaudin,Geneva,CH,sonarsource.com,"Ebay, Bank of America, Thales, BMW, Deloitte"
sonatype,E. Wayne Jackson III,Fulton,US,sonatype.com,"Goldman Sachs, Toyota, Disney, Deutsche Bank, NASA"
devops institute,Lisa Schwartz,,,devopsinstitute.com,""
atlassian,Mike Cannon-Brookes,Sydney,AU,atlassian.com,"Airbnb, NASA, Cisco, eBay, Toyota"
packer,,,,packer.io,""
docker,Ben Golub,San Francisco,US,docker.com,"ADP, PayPal, Indiana University, BBC News, Yelp"
jfrog artifactory,Shlomi Ben Haim,Sunnyvale,US,jfrog.com/artifactory,"Google, Master Card, Amazon, LinkedIn, Twitter"
atomic project,,,,projectatomic.io,""
travis ci,Mathias Meyer,Berlin,DE,travis-ci.org,"Twitter, Zendesk, Heroku, Bit Torrent, Engine Yard“"
circle ci,Jim Rose,San Francisco,US,circleci.com,"Facebook, Next door, Go Pro, Spotify, Fastlane"
xebia,Daan Teunissen,Boston,US,xebia.com,"Renault, Barclays, Tesla, Emirates, Stater"
tiobe,Paul Jansen,Eindhoven,NL,tiobe.com,"Philips, Tom Tom, ABB, ASML, Eneco“"
seerene,Oliver Muhr,Potsdam,DE,seerene.com,"SAP, Mercedes-Benz, Adidas, Autodesk, Generali"
qualicen,Maximilian Junker,München,DE,qualicen.de,""
dynatrace,John Van Siclen,Massachusetts,US,dynatrace.com," Nordstrom, Pandora, Volkswagen, Intuit, Whirlpool"
addtec,Johan Sjö,Stockholm,SE,addtech.se,"ABB, Sandvik, Ahlsell, Atlas Copco, Vattenfall"
version one,Robert Holler,Alpharetta,US,versionone.com,"Agilent Technologies, Motorola, ABB, Siemens, Whirlpool"
